Área de Avaliação	Código da IES	Nome da IES*	Categoria Administrativa	Modalidade de Ensino	Sigla da UF** 	Nº  de Concluintes Participantes	Nota Padronizada - FG	Nota Padronizada - CE	Conceito Enade (Contínuo)	Conceito Enade (Faixa)	 Proporção de Concluintes participantes com nota no Enem	 Nota Bruta - IDD	 IDD (Contínuo)	 IDD (Faixa)
ENGENHARIA CIVIL	3188	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	21	3,412698413	2,817565161	2,966348474	4	0,80952381	5,3254408	3,639329947	4
ENGENHARIA CIVIL	11428	FACULDADE DE TECNOLOGIA ALTO MÉDIO SÃO FRANCISCO	Privada sem fins lucrativos	Educação Presencial	MG	17	1,155830753	1,319024105	1,278225767	2	0,823529412	-2,796398206	1,457998209	2
ENGENHARIA CIVIL	3189	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	51	2,47825446	3,533606818	3,269768728	4	1	4,952697344	3,539219969	4
FISIOTERAPIA	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	38	3,83893041	3,851007016	3,847987865	4	0,921052632	5,089003019	3,92981491	4
ENGENHARIA DE CONTROLE E AUTOMAÇÃO	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	1				SC	1			SC
NUTRIÇÃO	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	10	1,751046859	2,104588824	2,016203333	3	0,7	0,177888743	2,669793349	3
FARMÁCIA	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	10	2,214305232	1,697628342	1,826797565	2	0,8	-3,15351457	1,513897193	2
FISIOTERAPIA	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	6	2,75384039	2,807875048	2,794366383	3	0,833333333	1,978286725	3,061192576	4
ENGENHARIA MECÂNICA	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	7	1,921484181	1,782437746	1,817199355	2	0,428571429	-0,438355946	2,142402183	3
ODONTOLOGIA	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	34	1,522378417	2,176075799	2,012651454	3	0,764705882	-0,408582525	2,371216609	3
ENGENHARIA DE PRODUÇÃO	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	3	2,972034046	2,268201439	2,444159591	3	0,666666667	0,585705523	2,699276091	3
ENFERMAGEM	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	16	2,049662396	2,363756473	2,285232954	3	0,625	1,39010221	2,880041047	3
ENGENHARIA CIVIL	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	11	1,441102757	1,552823476	1,524893296	2	0,363636364	-4,177595347	1,087041686	2
ARQUITETURA E URBANISMO	4863	FACULDADE ANHANGUERA DE POÇOS DE CALDAS	Privada com fins lucrativos	Educação Presencial	MG	6	2,202571146	2,355075337	2,316949289	3	0,5	-1,432583305	2,031063209	3
TECNOLOGIA EM GESTÃO AMBIENTAL	4358	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	24	2,800977915	2,718226178	2,738914112	3	0,5	-0,631715872	1,611418056	2
ENGENHARIA DE COMPUTAÇÃO I	4358	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	52	2,564271395	2,695752614	2,662882309	3	0,961538462	0,001673193	2,299703379	3
ENGENHARIA QUÍMICA	595	UNIVERSIDADE FEDERAL DE ALFENAS	Pública Federal	Educação Presencial	MG	126	3,087551105	2,051201767	2,310289101	3	1	-1,331240216	1,495915913	2
ENGENHARIA AMBIENTAL	595	UNIVERSIDADE FEDERAL DE ALFENAS	Pública Federal	Educação Presencial	MG	63	3,228039829	2,844694283	2,94053067	3	1	0,515865559	2,782221026	3
ARQUITETURA E URBANISMO	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	39	3,603455983	3,077899103	3,209288323	4	0,871794872	1,252432296	3,1999162	4
MEDICINA VETERINÁRIA	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	43	3,207657548	2,427808643	2,622770869	3	0,930232558	-3,658884967	1,147130108	2
ENGENHARIA DE PRODUÇÃO	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	25	2,589890568	3,11956259	2,987144584	4	0,8	0,633468774	2,725478124	3
ENFERMAGEM	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	24	3,499851421	2,794034192	2,970488499	4	0,833333333	-0,873877708	2,314332456	3
MEDICINA	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	87	3,500160878	3,044594679	3,158486228	4	0,977011494	0,01693466	2,312584892	3
ENGENHARIA CIVIL	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	61	2,726077489	1,939793498	2,136364496	3	0,852459016	-2,833937437	1,44791607	2
ENGENHARIA ELÉTRICA	338	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS	Comunitária/Confessional	Educação Presencial	MG	17	1,334917806	2,371107266	2,112059901	3	0,882352941	-0,570641538	2,299842871	3
FARMÁCIA	2636	FACULDADE DINÂMICA DO VALE DO PIRANGA	Privada com fins lucrativos	Educação Presencial	MG	5	3,946654896	3,506233956	3,616339191	4	0,8	2,056603212	2,926854394	3
ENGENHARIA DE PRODUÇÃO	14115	Faculdade Presidente Antônio Carlos de Ponte Nova	Privada sem fins lucrativos	Educação Presencial	MG	22	1,686247572	1,828698496	1,793085765	2	0,5	-0,486970504	2,110825943	3
NUTRIÇÃO	2636	FACULDADE DINÂMICA DO VALE DO PIRANGA	Privada com fins lucrativos	Educação Presencial	MG	10	2,616450648	2,889855793	2,821504507	3	0,9	3,231597825	3,994874438	5
ENFERMAGEM	2636	FACULDADE DINÂMICA DO VALE DO PIRANGA	Privada com fins lucrativos	Educação Presencial	MG	11	3,666439547	3,165728363	3,290906159	4	0,818181818	1,097005965	2,806804062	3
MEDICINA	2636	FACULDADE DINÂMICA DO VALE DO PIRANGA	Privada com fins lucrativos	Educação Presencial	MG	51	1,128069679	0,551416351	0,695579683	1	0,921568627	-5,767784958	0,411786983	1
FISIOTERAPIA	2636	FACULDADE DINÂMICA DO VALE DO PIRANGA	Privada com fins lucrativos	Educação Presencial	MG	6	2,322218059	2,935940145	2,782509624	3	1	0,498992288	2,648121094	3
FISIOTERAPIA	19555	Favenorte de Porteirinha	Privada com fins lucrativos	Educação Presencial	MG	27	1,77994255	1,975345724	1,926494931	2	0,888888889	-2,058228765	1,934054265	2
MEDICINA	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	79	3,780394453	3,419970632	3,510076588	4	1	0,750341658	2,553574703	3
AGRONOMIA	23175	Escola Superior de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	24	0,77562259	1,784793303	1,532500625	2	0,625	-2,729160874	1,657683729	2
NUTRIÇÃO	23172	Faculdade de Educação Superior de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	9	2,370942727	1,882562573	2,004657611	3	0,666666667	-1,102791066	2,114074205	3
BIOMEDICINA	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	30	1,657814181	1,114951045	1,250666829	2	0,8	-3,651960432	1,472273811	2
FISIOTERAPIA	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	28	1,81978269	2,087269947	2,020398133	3	0,607142857	-0,882139738	2,26246004	3
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	8	1,296749777	2,350184642	2,086825926	3	0,375	-3,296757482	1,479416493	2
MEDICINA VETERINÁRIA	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	42	1,47838191	1,615378198	1,581129126	2	0,833333333	-3,23829189	1,284278694	2
ODONTOLOGIA	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	0				SC				SC
ARQUITETURA E URBANISMO	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	43	1,80803231	1,886842299	1,867139802	2	0,813953488	-1,90909943	1,82362408	2
ENGENHARIA CIVIL	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	23	1,605099706	1,347381405	1,41181098	2	0,739130435	-5,209280744	0,809955659	1
ENGENHARIA ELÉTRICA	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	25	1,307474747	1,198823529	1,225986334	2	0,52	-1,998523029	1,599855418	2
ENGENHARIA MECÂNICA	19865	Faculdade Una de Pouso Alegre	Privada com fins lucrativos	Educação Presencial	MG	31	2,214435711	1,221487839	1,469724807	2	0,64516129	-3,049153965	1,126438099	2
ODONTOLOGIA	11860	INSTITUTO NACIONAL DE ENSINO SUPERIOR E PÓS-GRADUAÇÃO PADRE GERVÁSIO	Privada com fins lucrativos	Educação Presencial	MG	76	3,223932361	3,536969821	3,458710456	4	0,934210526	7,621272594	4,50888034	5
ENGENHARIA CIVIL	4358	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	34	3,603494029	3,372325222	3,430117424	4	0,970588235	3,49737818	3,148356042	4
ENGENHARIA QUÍMICA	4358	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	24	2,294932312	2,347984391	2,334721372	3	1	0,546317908	2,585982841	3
ENGENHARIA DE CONTROLE E AUTOMAÇÃO	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	5	1,233503201	0,626486143	0,778240408	1	0,6	-0,021481965	2,196157823	3
ENGENHARIA DE PRODUÇÃO	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	18	2,391581263	2,871846523	2,751780208	3	0,833333333	-0,182531427	2,277835567	3
ENGENHARIA MECÂNICA	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	3	1,726851085	0,670517612	0,934600981	1	0,333333333			SC
ENFERMAGEM	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	56	2,574109472	2,352640886	2,408008033	3	0,553571429	-0,196891058	2,483493481	3
NUTRIÇÃO	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	29	3,241052704	2,998358168	3,059031802	4	0,620689655	1,067425781	3,055785818	4
FISIOTERAPIA	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	39	2,475257227	3,19662834	3,016285562	4	0,846153846	2,231112912	3,131790615	4
FARMÁCIA	1586	UNIVERSIDADE DO VALE DO SAPUCAÍ	Privada sem fins lucrativos	Educação Presencial	MG	57	2,334147895	1,973928234	2,063983149	3	0,719298246	-3,699144614	1,365925126	2
ENGENHARIA DE PRODUÇÃO	8	UNIVERSIDADE FEDERAL DE VIÇOSA	Pública Federal	Educação Presencial	MG	37	2,549751419	3,138417266	2,991250804	4	1	-0,867299591	1,902184469	2
ENGENHARIA CIVIL	8	UNIVERSIDADE FEDERAL DE VIÇOSA	Pública Federal	Educação Presencial	MG	21	3,72836854	4,676095306	4,439163615	5	0,952380952	10,6935218	5	5
AGRONOMIA	8	UNIVERSIDADE FEDERAL DE VIÇOSA	Pública Federal	Educação Presencial	MG	33	3,954643764	3,624533841	3,707061322	4	1	1,930328653	3,062230792	4
NUTRIÇÃO	8	UNIVERSIDADE FEDERAL DE VIÇOSA	Pública Federal	Educação Presencial	MG	17	3,421177644	3,938604221	3,809247577	4	1	1,411010793	3,204875986	4
ZOOTECNIA	3279	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	38	3,907894737	3,314219401	3,462638235	4	1	3,065893909	3,658220552	4
ENGENHARIA DE CONTROLE E AUTOMAÇÃO	3189	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	10	3,100744806	3,437169452	3,353063291	4	0,9	0,839060895	2,688431939	3
ENGENHARIA DE ALIMENTOS	3188	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	16	0	1,210554755	0,907916066	1	0,9375	-0,704877366	1,938748944	2
MEDICINA VETERINÁRIA	3188	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	56	2,604633172	2,505549217	2,530320205	3	0,964285714	-0,778156177	2,08648908	3
ENGENHARIA FLORESTAL	3188	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	23	3,169586509	2,940985579	2,998135812	4	1	5,103267669	4,708512816	5
ARQUITETURA E URBANISMO	3189	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	22	3,829250519	3,61316776	3,66718845	4	0,909090909	2,837345846	3,88986785	4
ENGENHARIA CIVIL	3189	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS	Pública Federal	Educação Presencial	MG	33	3,762436394	2,985717249	3,179897035	4	0,848484848	1,426691463	2,592219107	3
AGRONOMIA	2124	FACULDADE CALAFIORI	Privada com fins lucrativos	Educação Presencial	MG	27	1,339947131	1,569379425	1,512021351	2	0,666666667	-1,439905511	2,046314248	3
ENGENHARIA CIVIL	5599	LIBERTAS - FACULDADES INTEGRADAS	Privada sem fins lucrativos	Educação Presencial	MG	8	0,352443609	1,065628633	0,887332377	1	0,75	-2,87410713	1,437127451	2
ENFERMAGEM	5599	LIBERTAS - FACULDADES INTEGRADAS	Privada sem fins lucrativos	Educação Presencial	MG	9	1,586214107	2,297179069	2,119437828	3	0,666666667	-0,965404734	2,291462278	3
ENGENHARIA DE ALIMENTOS	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	49	3,428569418	2,651914368	2,846078131	3	0,918367347	1,96557437	3,480475709	4
BIOMEDICINA	23178	Centro de Ensino Superior de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	23	2,434982248	0,862810869	1,255853714	2	0,826086957	-5,59488666	1,040358151	2
NUTRIÇÃO	23176	Faculdade de Educação Superior de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	16	2,403414756	2,027918713	2,121792723	3	0,75	-1,452057683	1,962518645	3
MEDICINA	22194	FACULDADE ATENAS SETE LAGOAS	Privada com fins lucrativos	Educação Presencial	MG	47	2,891076943	3,440682239	3,303280915	4	0,978723404	3,647415346	3,505522588	4
FISIOTERAPIA	18454	Faculdade Una de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	23	2,002313193	1,892554487	1,919994164	2	0,913043478	-1,950802868	1,964051386	3
ENGENHARIA CIVIL	18454	Faculdade Una de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	11	2,10640237	1,67306631	1,781400325	2	0,636363636	-1,337782983	1,849747378	2
ENGENHARIA DE PRODUÇÃO	18454	Faculdade Una de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	14	2,408434452	2,291510791	2,320741707	3	0,785714286	-0,940882894	1,861818035	2
ENGENHARIA MECÂNICA	18454	Faculdade Una de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	19	2,022832881	1,075880323	1,312618462	2	0,631578947	-1,938492993	1,55863992	2
ARQUITETURA E URBANISMO	18454	Faculdade Una de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	17	3,140607328	3,735597332	3,586849831	4	0,764705882	2,656157142	3,810991973	4
ENGENHARIA ELÉTRICA	18454	Faculdade Una de Sete Lagoas	Privada com fins lucrativos	Educação Presencial	MG	8	2,373737374	1,768382353	1,919721108	2	0,75	0,289454029	2,721485779	3
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	12620	FACULDADE SETE LAGOAS	Privada com fins lucrativos	Educação a Distância	MG	6	3,481745325	3,00310168	3,122762591	4	0,666666667	0,049050216	2,525498402	3
ODONTOLOGIA	12620	FACULDADE SETE LAGOAS	Privada com fins lucrativos	Educação Presencial	MG	55	2,984820058	2,587535954	2,68685698	3	0,818181818	4,090512993	3,568940997	4
TECNOLOGIA EM RADIOLOGIA	12620	FACULDADE SETE LAGOAS	Privada com fins lucrativos	Educação Presencial	MG	17	3,842145297	3,570424186	3,638354464	4	0,647058824	5,237466389	3,438040741	4
FISIOTERAPIA	12620	FACULDADE SETE LAGOAS	Privada com fins lucrativos	Educação Presencial	MG	37	2,635909795	2,605987835	2,613468325	3	0,945945946	-0,228836885	2,444885371	3
ENGENHARIA CIVIL	4962	CENTRO UNIVERSITÁRIO DE SETE LAGOAS	Privada sem fins lucrativos	Educação Presencial	MG	8	3,834586466	2,946301711	3,1683729	4	0,625	0,747022868	2,409676375	3
ENGENHARIA ELÉTRICA	4962	CENTRO UNIVERSITÁRIO DE SETE LAGOAS	Privada sem fins lucrativos	Educação Presencial	MG	9	3,537598204	2,68627451	2,899105433	3	0,777777778	1,987804802	3,554064841	4
ENGENHARIA AMBIENTAL	4962	CENTRO UNIVERSITÁRIO DE SETE LAGOAS	Privada sem fins lucrativos	Educação Presencial	MG	1				SC	0			SC
ENGENHARIA DE PRODUÇÃO	4962	CENTRO UNIVERSITÁRIO DE SETE LAGOAS	Privada sem fins lucrativos	Educação Presencial	MG	9	2,285912802	1,866666667	1,9714782	3	0,555555556	-1,397481163	1,611336704	2
ARQUITETURA E URBANISMO	4962	CENTRO UNIVERSITÁRIO DE SETE LAGOAS	Privada sem fins lucrativos	Educação Presencial	MG	0				SC				SC
ENFERMAGEM	4962	CENTRO UNIVERSITÁRIO DE SETE LAGOAS	Privada sem fins lucrativos	Educação Presencial	MG	5	2,407798726	3,074412996	2,907759428	3	0,6	-1,354903187	2,194136935	3
NUTRIÇÃO	4962	CENTRO UNIVERSITÁRIO DE SETE LAGOAS	Privada sem fins lucrativos	Educação Presencial	MG	6	2,406613493	3,23871053	3,03068627	4	0,833333333	1,196037268	3,111593573	4
NUTRIÇÃO	3716	FACULDADE CIÊNCIAS DA VIDA	Privada com fins lucrativos	Educação Presencial	MG	6	1,378364905	3,408324528	2,900834622	3	1	1,108585281	3,073645958	4
FARMÁCIA	3716	FACULDADE CIÊNCIAS DA VIDA	Privada com fins lucrativos	Educação Presencial	MG	30	2,21612684	2,96512657	2,777876638	3	0,833333333	2,879569756	3,150038697	4
ENFERMAGEM	3716	FACULDADE CIÊNCIAS DA VIDA	Privada com fins lucrativos	Educação Presencial	MG	25	3,199722653	2,717315741	2,837917469	3	0,88	4,26457503	3,598295637	4
ENGENHARIA MECÂNICA	3716	FACULDADE CIÊNCIAS DA VIDA	Privada com fins lucrativos	Educação Presencial	MG	9	2,285903595	0,670517612	1,074364108	2	0,666666667	-1,914741585	1,567882526	2
ENGENHARIA QUÍMICA	3716	FACULDADE CIÊNCIAS DA VIDA	Privada com fins lucrativos	Educação Presencial	MG	4	2,117362843	1,522921404	1,671531763	2	1	-0,388501762	2,043248109	3
ENGENHARIA CIVIL	1700	FACULDADE PROMOVE DE SETE LAGOAS	Privada com fins lucrativos	Educação Presencial	MG	12	2,530284043	1,410504809	1,690449617	2	0,75	-4,180549467	1,08624828	2
ENFERMAGEM	1700	FACULDADE PROMOVE DE SETE LAGOAS	Privada com fins lucrativos	Educação Presencial	MG	17	2,276991293	2,41582481	2,381116431	3	0,882352941	-1,52699203	2,151136493	3
ENGENHARIA FLORESTAL	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	18	4,303906845	3,767126246	3,901321396	4	1	3,348029129	3,960846676	5
AGRONOMIA	107	UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI	Pública Federal	Educação Presencial	MG	90	3,179403191	3,032545161	3,069259669	4	0,888888889	-1,664705897	1,978550876	3
MEDICINA	596	UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI	Pública Federal	Educação Presencial	MG	36	3,896263005	3,433808169	3,549421878	4	1	-0,15442093	2,256279251	3
ODONTOLOGIA	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	88	1,940077516	0,805509208	1,089151285	2	0,704545455	-5,27904853	1,074628018	2
ENFERMAGEM	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	37	2,261696437	2,313986683	2,300914122	3	0,783783784	1,125463238	2,81391478	3
NUTRIÇÃO	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	9	3,513958126	3,149319368	3,240479058	4	0,666666667	1,757861003	3,355383006	4
FARMÁCIA	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	42	2,252689124	1,6318826	1,787084231	2	0,761904762	-1,078323724	2,076678299	3
AGRONOMIA	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	6	3,386711281	2,693604697	2,866881343	3	0,833333333	2,343633155	3,186816462	4
FISIOTERAPIA	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	34	2,629272916	1,903099069	2,084642531	3	0,823529412	-0,358547126	2,408665671	3
ENGENHARIA CIVIL	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	8	1,713659148	0,720752457	0,96897913	2	0,75	-5,20079332	0,812235179	1
ARQUITETURA E URBANISMO	14156	Faculdade Presidente Antônio Carlos de Teófilo Otoni	Privada com fins lucrativos	Educação Presencial	MG	10	3,203935198	2,699801745	2,825835108	3	0,6	-0,296733139	2,52552658	3
ENGENHARIA ELÉTRICA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	52	1,421134421	1,265837104	1,304661433	2	0,019230769			SC
FARMÁCIA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	46	1,932747921	0,893087554	1,153002646	2	0,347826087	-3,132401668	1,519622904	2
FISIOTERAPIA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	22	1,600599475	1,557111721	1,56798366	2	0,090909091			SC
ENGENHARIA CIVIL	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	4	3,775062657	1,999506817	2,443395777	3	0			SC
TECNOLOGIA EM ESTÉTICA E COSMÉTICA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	8	2,488869101	1,978069435	2,105769351	3	0,375	0,436172937	2,646534072	3
BIOMEDICINA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	21	1,445886371	0,993966957	1,10694681	2	0,19047619			SC
TECNOLOGIA EM GESTÃO HOSPITALAR	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	3	3,863523573	1,805555556	2,32004756	3	0,666666667	0,094874211	2,637178809	3
TECNOLOGIA EM GESTÃO AMBIENTAL	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação a Distância	MG	6	1,258656186	0,67094384	0,817871926	1	0			SC
ENGENHARIA ELÉTRICA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação Presencial	MG	8	2,473063973	1,887867647	2,034166729	3	0,75	0,205773678	2,68046333	3
ENGENHARIA CIVIL	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação Presencial	MG	0				SC				SC
ARQUITETURA E URBANISMO	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação Presencial	MG	3	1,843713213	0,856264869	1,103126955	2	0,333333333			SC
ODONTOLOGIA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação Presencial	MG	17	3,573723697	2,993535669	3,138582676	4	1	4,533905402	3,686978479	4
MEDICINA VETERINÁRIA	5370	Centro Universitário Doctum de Teófilo Otoni	Privada sem fins lucrativos	Educação Presencial	MG	25	1,78923169	2,427602317	2,26800966	3	0,68	-0,53694683	2,165143539	3
ENGENHARIA DE PRODUÇÃO	596	UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI	Pública Federal	Educação Presencial	MG	11	2,593443555	1,883636364	2,061088161	3	0,454545455	0,026532417	2,39252411	3
ENGENHARIA CIVIL	596	UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI	Pública Federal	Educação Presencial	MG	28	2,116004296	1,992863937	2,023649027	3	0,392857143	-0,611032287	2,044935236	3
MEDICINA VETERINÁRIA	27	Centro Universitário Vale do Rio Verde	Privada sem fins lucrativos	Educação Presencial	MG	30	2,443948118	2,309955837	2,343453907	3	0,633333333	3,114628746	3,355863156	4
ODONTOLOGIA	27	Centro Universitário Vale do Rio Verde	Privada sem fins lucrativos	Educação Presencial	MG	30	2,374938112	1,74344306	1,901316823	2	0,8	-1,276368166	2,140199503	3
ARQUITETURA E URBANISMO	27	Centro Universitário Vale do Rio Verde	Privada sem fins lucrativos	Educação a Distância	MG	11	2,366469788	2,307385913	2,322156882	3	0,454545455	0,876302696	3,036177782	4
AGRONOMIA	27	Centro Universitário Vale do Rio Verde	Privada sem fins lucrativos	Educação Presencial	MG	26	1,978144689	1,008413748	1,250846483	2	0,807692308	-4,020717356	1,268359565	2
ENGENHARIA AMBIENTAL	27	Centro Universitário Vale do Rio Verde	Privada sem fins lucrativos	Educação Presencial	MG	2	2,010732468	1,918294849	1,941404254	2	1	-0,377299292	2,273109505	3
FARMÁCIA	27	Centro Universitário Vale do Rio Verde	Privada sem fins lucrativos	Educação Presencial	MG	20	2,90355634	3,139253174	3,080328965	4	0,8	4,152320836	3,495202257	4
